gene,sample,expression,time
Ass1,GSM2545336,982,8
Ccdc28b,GSM2545336,2030,8
Vsx2,GSM2545336,25,8
Klhl1,GSM2545336,347,8
Slit1,GSM2545336,408,8
Rbm10,GSM2545336,2726,8
Sgk1,GSM2545336,9471,8
Zbtb24,GSM2545336,789,8
Kif5a,GSM2545336,40211,8
Alox8,GSM2545336,194,8
Rgcc,GSM2545336,302,8
Olfr1033,GSM2545336,59,8
Lrrn4,GSM2545336,13,8
Trim59,GSM2545336,802,8
Pnma2,GSM2545336,501,8
Arc,GSM2545336,731,8
Lypd6b,GSM2545336,272,8
Prkar2b,GSM2545336,897,8
Gabrd,GSM2545336,5973,8
Sh3gl1,GSM2545336,1711,8
Rab9b,GSM2545336,1117,8
Slc9a2,GSM2545336,269,8
Gata3,GSM2545336,100,8
Rnd3,GSM2545336,646,8
Tdgf1,GSM2545336,369,8
Tph2,GSM2545336,488,8
Gprc5c,GSM2545336,2570,8
Syt16,GSM2545336,319,8
Cdyl,GSM2545336,626,8
St8sia2,GSM2545336,136,8
Usp19,GSM2545336,5986,8
Foxj2,GSM2545336,2585,8
Wdfy2,GSM2545336,1899,8
Fibcd1,GSM2545336,134,8
Hs3st4,GSM2545336,276,8
Rab27b,GSM2545336,706,8
Gm4988,GSM2545336,220,8
Hebp1,GSM2545336,217,8
Mrgpre,GSM2545336,183,8
Slc22a4,GSM2545336,2582,8
Txndc11,GSM2545336,1468,8
Pgr15l,GSM2545336,33,8
Evpl,GSM2545336,101,8
Pax7,GSM2545336,78,8
Trim65,GSM2545336,183,8
Gm33533,GSM2545336,33,8
Otof,GSM2545336,131,8
Alk,GSM2545336,91,8
Acap3,GSM2545336,3695,8
Erdr1,GSM2545336,510,8
Kcnq5,GSM2545336,217,8
Msln,GSM2545336,117,8
Tbc1d20,GSM2545336,1556,8
Slc16a10,GSM2545336,321,8
Errfi1,GSM2545336,2632,8
Nr2e1,GSM2545336,21,8
Gpr149,GSM2545336,36,8
Plcxd1,GSM2545336,266,8
Lrch3,GSM2545336,4436,8
Morc2b,GSM2545336,112,8
Elfn1,GSM2545336,198,8
Rnf180,GSM2545336,371,8
Pcdhb8,GSM2545336,133,8
Creg2,GSM2545336,843,8
Erich3,GSM2545336,896,8
Rpp25,GSM2545336,281,8
Fgfr1,GSM2545336,7369,8
Sfrp2,GSM2545336,58,8
Rprm,GSM2545336,127,8
Tmem120b,GSM2545336,691,8
Tpra1,GSM2545336,1601,8
Igsf9,GSM2545336,24,8
Jakmip1,GSM2545336,1094,8
Hsf4,GSM2545336,358,8
Pcbd1,GSM2545336,188,8
Rasgrf2,GSM2545336,1286,8
Dgkk,GSM2545336,147,8
Paxip1,GSM2545336,1956,8
Smtn,GSM2545336,270,8
Cmpk2,GSM2545336,883,8
Drd4,GSM2545336,34,8
Samd11,GSM2545336,43,8
Magel2,GSM2545336,121,8
Csrnp3,GSM2545336,2054,8
Zfp941,GSM2545336,910,8
Lrrc1,GSM2545336,783,8
Tmie,GSM2545336,384,8
Pcdh8,GSM2545336,234,8
Glra2,GSM2545336,356,8
Gpatch8,GSM2545336,5720,8
Slc6a16,GSM2545336,24,8
Grm7,GSM2545336,887,8
Ybx3,GSM2545336,1760,8
Tenm3,GSM2545336,1057,8
Npffr1,GSM2545336,26,8
Slc39a11,GSM2545336,495,8
Otp,GSM2545336,16,8
Hoga1,GSM2545336,82,8
Egfl6,GSM2545336,23,8
Plch2,GSM2545336,6677,8
Pde11a,GSM2545336,106,8
Zfp335,GSM2545336,1568,8
Gpr61,GSM2545336,279,8
Tox,GSM2545336,178,8
Gabrr1,GSM2545336,20,8
Jun,GSM2545336,2611,8
Cox7b2,GSM2545336,19,8
Mn1,GSM2545336,329,8
Tmem130,GSM2545336,5202,8
Dusp11,GSM2545336,6174,8
Tmem91,GSM2545336,211,8
Rbms2,GSM2545336,1128,8
Inpp5j,GSM2545336,6008,8
Vstm2a,GSM2545336,1545,8
C1qtnf2,GSM2545336,56,8
Ctns,GSM2545336,1122,8
Smarcd2,GSM2545336,3670,8
Dbpht2,GSM2545336,109,8
Ltbp2,GSM2545336,2143,8
Drd1,GSM2545336,29,8
Dact2,GSM2545336,291,8
E4f1,GSM2545336,1253,8
Zfp598,GSM2545336,2892,8
Zcchc12,GSM2545336,1833,8
Zfp263,GSM2545336,1602,8
Tspyl3,GSM2545336,743,8
Arhgap10,GSM2545336,817,8
Plxnb2,GSM2545336,5892,8
Doc2a,GSM2545336,244,8
Tmem29,GSM2545336,608,8
Dpf2,GSM2545336,2936,8
Foxl2os,GSM2545336,30,8
Slc47a1,GSM2545336,403,8
Nap1l5,GSM2545336,30055,8
Mapk7,GSM2545336,1186,8
Grem2,GSM2545336,324,8
Pcdh10,GSM2545336,2386,8
Nol3,GSM2545336,360,8
Gpr83,GSM2545336,112,8
Nrsn2,GSM2545336,3488,8
Prss16,GSM2545336,23,8
Pcdh18,GSM2545336,180,8
Emx2,GSM2545336,30,8
Ccdc81,GSM2545336,73,8
Rwdd2a,GSM2545336,561,8
